Paper/Book,Authors,Year,Type of study,Industrial/Academic,"Reference Archi-
tecture?","AI-Agentic
Features","Human
Role",Results,Key Findings,Open Questions,Link,Column 1
The global landscape of AI ethics guidelines,"Jobin, Ienca, Vayena",2019,Survey,Academic,No,No,"Human as interpreter, overseer, and co-decider",Surveys and synthesizes global AI ethics guidelines to identify key themes and divergences.,"AI ethics guidelines differ in scope and depth; global harmonization is lacking, and context matters greatly.",How can global AI ethics guidelines be harmonized without compromising local relevance?,https://www.nature.com/articles/s42256-019-0088-2,
Value Sensitive Design and Information Systems,"Friedman, Kahn, Borning",2013,Conceptual Essay,Academic,No,No,"Human as system designer, domain modeler, and evaluator",Introduces Value Sensitive Design as a methodology for incorporating human values into IT system development.,"Incorporating values in design must be iterative, stakeholder-driven, and context-sensitive to be effective.",How can value-sensitive design scale to complex socio-technical systems with multiple stakeholders?,https://link.springer.com/chapter/10.1007/978-94-007-7844-3_4,
Principles alone cannot guarantee ethical AI,Mittelstadt,2019,Conceptual Essay,Academic,No,No,Reactive oversight only,"Critiques the limitations of AI principles and emphasizes need for practical, contextual governance mechanisms.",Abstract principles are insufficient; operationalization and accountability mechanisms are critical for ethical AI.,What concrete methods translate abstract principles into traceable engineering decisions?,https://www.nature.com/articles/s42256-019-0114-4,
Fairness in Machine Learning: Lessons from Political Philosophy,Binns,2018,Conceptual Essay,Academic,No,No,"Human-inspired roles like Product Manager, QA, Architect; agents simulate these","Explores fairness in ML through political philosophy, showing how different fairness definitions reflect ethical tradeoffs.",Fairness in ML is inherently political; selecting fairness metrics involves value trade-offs that must be transparent.,How can fairness goals be balanced across stakeholders in multi-objective algorithmic systems?,https://arxiv.org/abs/1712.03586,
Society-in-the-Loop: Programming the Algorithmic Social Contract,Rahwan,2018,Conceptual + formal framework with prototype implementation,Academic,No,Yes - Discusses societal governance of autonomous algorithmic agents.,"Human as societal overseer, contracts encoded in AI","Introduces Society-in-the-Loop concept, advocating for institutional oversight embedded in algorithmic systems.",Embedding societal values into algorithmic systems requires institutional mechanisms and participatory governance.,How can human oversight mechanisms be made scalable for rapidly evolving algorithmic infrastructures?,https://link.springer.com/article/10.1007/s10676-017-9430-8,
A Practical Guide to Building Agents,OpenAI,2024,Technical Report / Conceptual Guide,Academic,No,Yes - Guide on building autonomous AI agents.,Human acts as requester; LLM plans & executes tasks,Provides practical guidance for designing and implementing AI agents with OpenAI tools and methodologies.,Designing agents requires balancing autonomy and control; tooling and methodology influence agent behavior.,How can agent tools be designed to align better with human goals in real-time environments?,https://cdn.openai.com/business-guides-and-resources/a-practical-guide-to-building-agents.pdf,
"SS-ISO/IEC/IEEE 42010:2022 -- System- och programvarukvalitet -- Beskrivning av arkitektur (ISO/IEC/IEEE 42010:2022, IDT)",ISO/IEC/IEEE,2022,Theoretical / Educational (Textbook),Industrial,Yes,No,Architects as formal describers and modelers,Defines standard for architecture description to support communication among stakeholders in system design.,Clear architectural documentation enables communication and governance across lifecycle and stakeholder groups.,How can architecture description languages better support stakeholder collaboration?,https://www.sis.se/produkter/kvalitet-ffd57ad9/systems-and-software-engineering/ss-isoiecieee-420102022/,
"Software reference architectures: Foundations, theory, and practice","Capilla, Nava, Sánchez, Franch",2015,Theoretical & Conceptual,Academic,Yes,No,"Architects as designers, integrators, and evaluators",Summarizes foundations and practices for developing and using software reference architectures in industry.,"Reference architectures support reuse, quality, and governance but require customization for domain-specific needs.",How can reference architectures evolve to support rapidly changing AI and cloud-native environments?,https://www.sciencedirect.com/science/article/pii/S016412121500162X,
Software performance engineering: A retrospective and a path forward,"Woodside, Petriu, Shen, Miller",2019,Theoretical & Conceptual,Academic,No,No,Human as system tuner and evaluator,Reflects on software performance engineering and identifies opportunities for integrating architectural concerns.,Performance concerns should be integrated early in software design; architecture has a large impact on performance.,How can performance considerations be balanced with evolving ethical and legal concerns?,https://www.sciencedirect.com/science/article/pii/S0164121218303541,
Governance of Autonomous Agents on the Web: Challenges and Opportunities,"Kampik, Perini, Roffia, Salle, Galizia",2025,Conceptual Review,Academic,No,Yes - Governance challenges for autonomous agents.,Human as supervisor and policy shaper,Analyzes challenges and prospects of autonomous agents on the web; highlights gaps in governance models.,Lack of governance mechanisms for web agents creates risks; emphasizes need for normative and technical oversight.,What governance mechanisms are both effective and acceptable for autonomous web agents?,https://dl.acm.org/doi/fullHtml/10.1145/3507910,
"Generative AI for Software Architecture: Applications, Trends, Challenges, and Future Directions","Esposito, Pandey, Medina-Bulo, Astudillo, Malizia",2025,Literature Review,Academic,Yes,Yes - Discusses agentic AI aspects in generative AI contexts.,Architects as AI-integrators and ethical designers,"Maps current use cases, trends, and challenges of Generative AI in software architecture practice.","Generative AI offers potential for automating software architecture tasks, but challenges include explainability and control.","How can generative AI tools be made transparent, safe, and aligned with architectural intent?",https://arxiv.org/abs/2503.13310,
"Stochastic, Dynamic, Fluid Autonomy in Agentic AI: Implications for Authorship, Inventorship, and Liability","Mukherjee, Chang",2021,Conceptual Essay,Academic,No,Yes - Direct focus on fluid autonomy and agentic AI features.,Human as legal analyst and responsible agent,Proposes a dynamic autonomy framework to handle legal and ethical implications of agentic AI systems.,"Autonomy in agentic AI must be fluid, context-aware, and legally traceable; design must anticipate liability.",What legal and ethical frameworks are suitable for assigning accountability in fluid AI autonomy?,https://arxiv.org/abs/2504.04058,
Meaningful human control: actionable properties for AI system development,"Siebert, Manzey, Roesler",2023,Peer-reviewed conceptual + empirical HCI study,Academic,No,Yes - Human control over autonomous agentic systems.,"Human-in-the-loop, human-on-the-loop, oversight, collaboration",Defines actionable properties for building AI systems under meaningful human control principles.,"Actionable properties for meaningful control include traceability, reversibility, and human understanding.",How can system designers measure and validate meaningful human control in practice?,https://arxiv.org/abs/2112.01298,
Human-AI Collaboration: The Effect of AI Delegation on Human Task Performance and Task Satisfaction,"Hemmer, Loe, Gácsi",2024,Conceptual + System implementation + User study,Academic,No,Yes - Collaboration with autonomous AI agents.,"Peer/co-learner, task collaborator",Empirically studies how AI delegation affects human task performance and satisfaction in collaborative work.,"AI delegation influences human performance positively, but poor delegation design can lead to dissatisfaction and reduced trust.",What design strategies promote positive human outcomes in shared AI task environments?,https://arxiv.org/abs/2303.09224,
Positive Interactions with Intelligent Technology through Psychological Ownership: A Human-in-the-Loop Approach,"Dalangin, Lee, Lim, Kim",2024,Conceptual + System implementation + User study,Academic,No,Yes - Interaction with agentic AI within HITL setups.,"Co-creator, psychological stakeholder, system engager",Shows that psychological ownership in human-in-the-loop systems leads to more positive user engagement.,Psychological ownership increases engagement and responsibility in human-in-the-loop AI systems.,"How can psychological ownership be fostered in dynamic, agent-driven decision loops?",https://openaccess.cms-conferences.org/publications/book/978-1-958651-98-8/article/978-1-958651-98-8_6,
Generative AI Models for Different Steps in Architectural Design: A Literature Review,"Li, Zhang, Lin, Fang",2024,Literature Review,Academic,Yes,Yes - Generative AI agentic features in design processes.,"Co-planner, cognitive collaborator",Surveys how generative AI tools are applied across stages of architectural design processes.,"Generative AI tools are used across all stages of architectural design, but lack standard evaluation methods.",What standards and benchmarks are needed for evaluating generative AI in architectural workflows?,https://www.sciencedirect.com/science/article/pii/S209526352400147X,
FLRA: A Reference Architecture for Federated Learning Systems,"Lo, Sun, Li, Lin, Chen, Lin",2021,System design + benchmarking,Academic,Yes,No,Human as system designer and orchestrator,"Proposes a federated learning reference architecture, detailing its components and design considerations.","Federated systems need well-defined architectures to manage privacy, trust, and communication across nodes.",How can privacy and security be maintained without compromising efficiency in federated architectures?,https://link.springer.com/chapter/10.1007/978-3-030-86044-8_6,
Responsible-AI-by-Design: A Pattern Collection for Designing Responsible AI Systems,"Lu, Lu, Zheng, Chen, Zhou",2022,Pattern catalog,Academic,No,No,Architect as ethical AI pattern curator,Presents a catalog of Responsible AI design patterns with practical implementation guidance.,"Responsible AI patterns provide reusable templates for addressing transparency, fairness, and accountability.",How can pattern collections be validated and maintained across evolving AI practice domains?,https://arxiv.org/abs/2203.00905,
AgentStudio: A development platform for building multi-agent systems with LLMs,"Li, Ma, Yao, Chen",2024,System design + benchmarking,Academic,Yes,Yes - Platform for building agentic AI with large language models.,Human as system architect and iterative tester,"Introduces AgentStudio platform for building LLM-powered multi-agent systems, with architecture and use cases.","LLM-based agents require tailored platforms to manage dialogue, memory, and reasoning in multi-agent environments.",What frameworks support trustworthy deployment of LLM-based multi-agent systems?,https://arxiv.org/abs/2503.18238,
A Design Science Research Methodology for Information Systems Research,"Peffers, Tuunanen, Rothenberger, Chatterjee",2007,Conceptual + System implementation + User study,Academic,No,No,Researcher and methodology designer,Proposes a design science research methodology for IS with clear process stages and evaluation criteria.,"Design science research must link rigor and relevance, using iterative cycles and practical validation.","How can design science methods be adapted for iterative, AI-driven system development?",https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222240302,
Experimentation in Software Engineering,Wohlin,2012,Theoretical & Conceptual,Academic,No,No,Researcher and evaluator of practices,Summarizes best practices and pitfalls in software engineering experimentation; provides structured guidelines.,"Sound experimentation in software engineering requires planning, reproducibility, and stakeholder alignment.",How can experimental software engineering account for unpredictability in AI components?,https://link.springer.com/book/10.1007/978-3-662-69306-3,
The Role of Human Oversight in Responsible AI Systems,Johnson,2024,Empirical Study,Academic,No,No,"Human-in-the-loop, oversight and governance actor","Argues for layered human oversight in AI, outlining mechanisms for responsible human-AI system governance.","Human oversight must be layered and adaptive, balancing autonomy with accountability at each level of system interaction.",What levels of oversight are appropriate for different types of AI systems and risk domains?,https://www.researchgate.net/publication/386245696,
Revolutionizing Organizational Decision-Making,Singh et al.,2023,Conceptual framework,Academic,Yes – 3 integration models,"Decision structures, delegation, hybrid reasoning","Delegator, Reviewer, Collaborator",Proposes hybrid decision structures for optimized governance,Highlights pros/cons of delegation models and interpretability tradeoffs,How to operationalize these structures in live AI systems?,https://ieeexplore-ieee-org.proxy.lnu.se/stamp/stamp.jsp?tp=&arnumber=10450811,
A Human-in-the-Loop Anomaly Detection Architecture for Big Traffic Data of Cellular Network,"Shenglong Liu, Yuxiao Xia, Di Wang",2024,Applied system design,Academic,Yes,"Anomaly detection, HITL feedback loop, real-time monitoring","Supervisor, feedback provider",Presents real-time anomaly detection system with human validation,Layered governance and human validation improve resilience in network monitoring,How can such frameworks generalize to other domains or real-time agentic AI systems?,https://ieeexplore-ieee-org.proxy.lnu.se/document/10471346,
Orchestration for Human-AI Teaming: Designing the Interplay Between Autonomy and Control,"Björn Svensson, Christina Keller",2024,Conceptual Framework,Academic,No,"Orchestration, autonomy management, collaboration","Teaming, decision support, supervisory roles",Explores how orchestration strategies can balance control and agent autonomy in human-AI teaming scenarios,Effective orchestration is critical for managing dynamic role allocations between humans and AI in team environments,How can orchestration adapt in real-time to changing team goals and human trust levels?,https://scholarspace.manoa.hawaii.edu/items/029387d5-112d-44a4-b555-156b18f8b77b,
